seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
19,r4_uniform,3100065,1233120,1.6797691312134402,5.36431737470783,0.512558477863989,6.0,6,4634.314681671613,0.0,278.00516310899957
19,s4_symmetric_narrow,3100065,1233120,1.669972963389715,5.312024176112188,0.5142201049748973,6.0,6,5709.583839233876,0.0,222.230460923
19,t4_symmetric_wide,3100065,1233120,1.6889445784972281,5.413763886018733,0.5095133500684619,6.0,6,5212.6777856119825,0.0,268.4723928890003
19,u4_zero_positive,3100065,1233120,1.6849991055396745,5.392446109018248,0.512986364673665,6.0,6,4813.9757015776595,0.0,260.11266629999955
19,v4_zero_negative,3100065,1233120,1.6885259176486707,5.41149782942401,0.5105545413053401,6.0,6,3469.3116447935677,0.0,213.52709307199984
